,id,Name,sub_id,geo_label,City Class,geo_classification,population,label
12669,401018000,Mataasnakahoy,401000000,Mun,,,30621,
12670,401018001,District I ,401018000,Bgy,,R,2351,
12671,401018002,District II ,401018000,Bgy,,R,2157,
12672,401018003,District III ,401018000,Bgy,,R,3385,
12673,401018004,District IV ,401018000,Bgy,,R,1739,
12674,401018006,Bayorbor,401018000,Bgy,,R,1312,
12675,401018008,Bubuyan,401018000,Bgy,,R,1626,
12676,401018009,Calingatan,401018000,Bgy,,R,3127,
12677,401018010,Kinalaglagan,401018000,Bgy,,R,2665,
12678,401018011,Loob,401018000,Bgy,,R,1171,
12679,401018012,Lumang Lipa,401018000,Bgy,,R,1923,
12680,401018013,Manggahan,401018000,Bgy,,R,782,
12681,401018014,Nangkaan,401018000,Bgy,,R,2299,
12682,401018015,San Sebastian,401018000,Bgy,,R,928,
12683,401018016,Santol,401018000,Bgy,,R,2104,
12684,401018017,Upa,401018000,Bgy,,R,1946,
12685,401018018,Barangay II-A ,401018000,Bgy,,R,1106,
12686,401019000,Nasugbu,401000000,Mun,,,136524,
12687,401019001,Aga,401019000,Bgy,,U,7077,
12688,401019002,Balaytigui,401019000,Bgy,,R,4572,
12689,401019003,Banilad,401019000,Bgy,,U,5009,
12690,401019004,Barangay 10 ,401019000,Bgy,,U,910,
12691,401019005,Barangay 11 ,401019000,Bgy,,U,3312,
12692,401019006,Barangay 12 ,401019000,Bgy,,R,2313,
12693,401019007,Barangay 2 ,401019000,Bgy,,U,1438,
12694,401019008,Barangay 3 ,401019000,Bgy,,U,1120,
12695,401019009,Barangay 4 ,401019000,Bgy,,R,1333,
12696,401019010,Barangay 5 ,401019000,Bgy,,R,1988,
12697,401019011,Barangay 6 ,401019000,Bgy,,R,2665,
12698,401019012,Barangay 7 ,401019000,Bgy,,R,1434,
12699,401019013,Barangay 8 ,401019000,Bgy,,R,1086,
12700,401019014,Barangay 9 ,401019000,Bgy,,U,746,
12701,401019015,Bilaran,401019000,Bgy,,U,5590,
12702,401019016,Bucana,401019000,Bgy,,U,4516,
12703,401019017,Bulihan,401019000,Bgy,,R,2973,
12704,401019018,Bunducan,401019000,Bgy,,R,2330,
12705,401019019,Butucan,401019000,Bgy,,R,2540,
12706,401019020,Calayo,401019000,Bgy,,R,2846,
12707,401019021,Catandaan,401019000,Bgy,,R,2126,
12708,401019022,Kaylaway,401019000,Bgy,,U,7609,
12709,401019023,Kayrilaw,401019000,Bgy,,R,1731,
12710,401019024,Cogunan,401019000,Bgy,,U,5572,
12711,401019026,Dayap,401019000,Bgy,,R,2347,
12712,401019027,Latag,401019000,Bgy,,R,2337,
12713,401019028,Looc,401019000,Bgy,,R,4259,
12714,401019029,Lumbangan,401019000,Bgy,,U,6233,
12715,401019032,Malapad Na Bato,401019000,Bgy,,R,1548,
12716,401019033,Mataas Na Pulo,401019000,Bgy,,R,1977,
12717,401019035,Maugat,401019000,Bgy,,R,1380,
12718,401019036,Munting Indan,401019000,Bgy,,R,2656,
12719,401019037,Natipuan,401019000,Bgy,,U,2594,
12720,401019039,Pantalan,401019000,Bgy,,R,3848,
12721,401019041,Papaya,401019000,Bgy,,R,2896,
12722,401019042,Putat,401019000,Bgy,,R,3582,
12723,401019044,Reparo,401019000,Bgy,,R,2389,
12724,401019045,Talangan,401019000,Bgy,,R,2762,
12725,401019046,Tumalim,401019000,Bgy,,R,4535,
12726,401019047,Utod,401019000,Bgy,,R,1515,
12727,401019048,Wawa,401019000,Bgy,,U,15428,
12728,401019049,Barangay 1 ,401019000,Bgy,,R,1402,
12729,401020000,Padre Garcia,401000000,Mun,,,51853,
12730,401020001,Banaba,401020000,Bgy,,R,3835,
12731,401020002,Banaybanay,401020000,Bgy,,R,2340,
12732,401020014,Bawi,401020000,Bgy,,R,3925,
12733,401020015,Bukal,401020000,Bgy,,R,2846,
12734,401020016,Castillo,401020000,Bgy,,R,1834,
12735,401020017,Cawongan,401020000,Bgy,,R,4250,
12736,401020018,Manggas,401020000,Bgy,,R,1295,
12737,401020019,Maugat East,401020000,Bgy,,R,882,
12738,401020020,Maugat West,401020000,Bgy,,U,2332,
12739,401020021,Pansol,401020000,Bgy,,R,4720,
12740,401020022,Payapa,401020000,Bgy,,R,3500,
12741,401020023,Poblacion,401020000,Bgy,,U,3361,
12742,401020024,Quilo-quilo North,401020000,Bgy,,R,2928,
12743,401020025,Quilo-quilo South,401020000,Bgy,,R,3650,
12744,401020026,San Felipe,401020000,Bgy,,U,3588,
12745,401020027,San Miguel,401020000,Bgy,,U,3396,
12746,401020028,Tamak,401020000,Bgy,,R,1036,
12747,401020029,Tangob,401020000,Bgy,,R,2135,
12748,401021000,Rosario,401000000,Mun,,,128352,
12749,401021001,Alupay,401021000,Bgy,,R,4306,
12750,401021002,Antipolo,401021000,Bgy,,R,745,
12751,401021003,Bagong Pook,401021000,Bgy,,U,6268,
12752,401021004,Balibago,401021000,Bgy,,R,2427,
12753,401021005,Bayawang,401021000,Bgy,,R,1406,
12754,401021006,Baybayin,401021000,Bgy,,R,3240,
12755,401021007,Bulihan,401021000,Bgy,,R,4104,
12756,401021008,Cahigam,401021000,Bgy,,R,2758,
12757,401021009,Calantas,401021000,Bgy,,R,1722,
12758,401021010,Colongan,401021000,Bgy,,R,2128,
12759,401021011,Itlugan,401021000,Bgy,,U,5082,
